Id,PostTypeId,ParentId,OwnerUserId,CreationDate,ViewCount,FavoriteCount,Tags,Keywords
60,2,55,51,2011-01-11T22:05:38.933,,,,obi wan lie luke knew full well vader anakin see chat dure duel later movi luke call last movi sli devil twist word around sound like wasn lie
62,2,55,63,2011-01-11T22:06:16.033,,,,knew anakin consum dark side forc think speak metaphor certain knew darth vader liter dead anakin skywalk
63,1,,71,2011-01-11T22:06:54.163,1534,3,setting dyson-sphere,ringworld novel larri niven author use giant ring around sun set concept go extrem direct sphere around sun concept call dyson sphere doe work sf explor concept
64,2,21,14,2011-01-11T22:07:20.247,,,,probabl best think new canon rewrot histori continu old seri doesn matter let play tension cours us know old materi enjoy chang univers sort meta level write crowd
69,2,63,27,2011-01-11T22:10:39.043,,,,bob shaw orbitsvill novel orbitsvill orbitsvill departur orbitsvill judgement
70,2,63,51,2011-01-11T22:10:59.947,,,,count written word one episod star trek tng doe episod call relic episod also novel michael jan friedman sequel novel name dyson sphere written charl pellegrino georg zebrowski
71,2,63,63,2011-01-11T22:11:29.040,,,,yes list dyson sphere popular cultur idea origin novel call star maker
78,1,,73,2011-01-11T22:13:47.860,840,,steampunk,steampunk ve heard term toss around m sure mean ve seen steampunk websit pictur costum sf convent get movement someon explain book movi show steampunk
79,2,63,32,2011-01-11T22:13:50.933,,,,halo univers dyson sphere set halo war dyson sphere
84,2,78,83,2011-01-11T22:17:25.017,,,,steampunk pretti much extrapol futur victorian point view ll see lot steam obvious power devic often social structur victorian britain preserv one way anoth wikipedia explain rather well
88,1,,78,2011-01-11T22:20:50.987,668,1,cyberpunk,one person creator cite inventor cyberpunk
91,2,88,55,2011-01-11T22:22:53.403,,,,mean invent william gibson invent term
96,1,,35,2011-01-11T22:25:22.773,2734,,star-trek tv,star trek success movi assum next film maker total blow could new seri anytim soon ani inform new seri would look like set
98,2,78,78,2011-01-11T22:26:41.797,,,,steampunk term joke coin 1987 scienc fiction writer k w jeter describ brand victorian fantasi written contemporari sinc blossom onli literari subgenr whole subcultur origin sli nod cyberpunk subgenr vogu time steampunk taken leas life arous mani debat steampunk actual
102,2,96,55,2011-01-11T22:27:37.160,,,,plan movi none tv seri public
103,1,,10,2011-01-11T22:27:50.267,684,,books metro-2033,realli want read metro 2033 dmitri glukhovski m hard time find precis m hard time find legal copi appear bootleg english translat web amazon us site amazon com show either german translat mark releas yet bootleg translat seem must legal releas somewher
113,1,,78,2011-01-11T22:37:47.047,985,4,arthur-c-clarke prediction,heard arthur c clark inventor idea satellit true pleas tell work present idea satellit
114,2,38,24,2011-01-11T22:38:29.050,,,,kind like enterpris handl problem although didn much like enterpris possibl tri retcon stori could retcon possibl assum enterpris live slight somewhat altern version current histori mind altern counterfactu version univers especi written past interest attempt guess futur
115,2,113,63,2011-01-11T22:40:38.527,,,,publish propos wireless world magazin 1945
116,2,8,39,2011-01-11T22:43:03.333,,,,haven read book saw movi still feel lucki ani time drink coke watch movi ve wonder might caus world go hell movi rodger answer mention look like fire earthquak mention look like much colder weather onli thing think would caus fire earthquak would either meteor hit massiv volcan erupt think ve read anyth show massiv erupt would lead long last aftershock quak m sure meteor hit would either d think meteor hit would wouldn ani life left earth impact big lead cooler weather ash block sunlight rememb ani acid rain road think indic volcano meteor
121,1,,35,2011-01-11T22:49:21.507,1323,2,star-trek star-trek-data robots star-trek-tng,star trek tng data andriod creat noonien soong albert einstein robot busi guy think count 4 total robot doe anyon know data style robot mention seri
125,1,,63,2011-01-11T22:51:28.290,78879,16,books suggested-order orson-scott-card enders-game,seri start ender game parallel seri start ender shadow graph timelin well complic doe make sens read order first publish tri read chronolog order stori imag refer ender game seri
126,2,121,74,2011-01-11T22:52:32.220,,,,four wikipedia noonian soong human cyberneticist creat data play brent spiner also play role data soong creat four complet android known star trek univers data lore b 4 three design replica dead wife juliana technic superior previous model earli dr soong career wide hail earth foremost robot scientist becam reclus appar fail creat positron brain thought kill colonist omicron theta scientist actual settl terlina iii summon data fit final invent emot chip inadvert also summon data brother lore kill obtain chip
127,2,125,38,2011-01-11T22:55:10.907,,,,someon read everi book think publish order best order read becaus order author ad univers build everyth publish befor read differ order get build sens discoveri would get thing may wonder earlier book reveal later one
128,1,,89,2011-01-11T22:55:20.003,924,2,isaac-asimov,disclaim definit subject argument ve alway want place ask question final one also one exampl question submit dure definit phase got upvot quit bit topic psychohistori look veri much like scientif evolut marx histor materi social econom forc shape histori action singl person affect much outcom even person emperor galaxi cours present mere histor analysi strong mathemat theori nevertheless basic concept pretti much strong forc direct evolut everi human societi singl action actual divert path unless mutant guy psychic power get involv kill hitler wouldn avoid wwii becaus bound happen anyway end etern present exact opposit view everi singl action import everi singl moment could becom point diverg altern histori kill hitler would avoid wwii least direct veri differ direct mayb tri make sens actual hand stupid everyon know god themselv fight vain back question two view histori cours mutual exclus asimov realli think specul direct one work materi could clarifi issu
135,2,33,39,2011-01-11T23:01:38.440,,,,mental challeng brother rememb tri transfer end start whistl whatev sort hint mayb transfer effect mayb ll say clone onto brother mayb ll realiz bad whole stori pretend didn happen
138,2,88,89,2011-01-11T23:02:50.417,,,,term cyberpunk almost univers associ william gibson lesser extent author gibson didn creat literari genr end even didn creat name first use bruce bethk titl one short stori cyberpunk genr name wasn actual invent ani singl person emerg work various author contribut definit evolut gibson inde one greatest express info usual http en wikipedia org wiki cyberpunk
140,2,113,92,2011-01-11T23:04:08.797,,,,wasn origin sourc idea actual inventor concept start articl mention bill later one big propon use could put geostationari satellit especi concept communic impact societi surpris instructor radio school radar specialist dure world war ii see arthurcclark net impact recognis fact geostationari orbit 36000km equat call clark orbit recognis intern astronom union idea origin publish herman potonik 1928 translat english scienc wonder stori 1929
141,2,125,98,2011-01-11T23:04:42.523,,,,would recommend either read publish order read ender seri book first follow shadow seri doesn hurt occasion switch book chronolog either general
142,1,,87,2011-01-11T23:05:15.690,269,,books,ve slowli work way reza negarastani fantast cyclonopedia past week m thorough enjoy help think substanti materi go head know point read deluz guattari thousand plateaus would good start ve order sure work densiti onli refer draw better yet sort refer list reader companion could pair cyclonopedia get edit research also brought negarastani excel blog provid ton link explor
148,2,1,78,2011-01-11T23:15:45.390,,,,na vi languag use avatar alien develop dr paul frommera languag vocabulari 1000 word 30 invent cameron
151,2,128,9,2011-01-11T23:18:28.603,,,,haven found anyth said issu scientist assum sinc wrote book physic also familiar uncertainti principl would probabl jive first idea psychohistori sinc deal probabl yeah know stretch like
161,2,1,63,2011-01-11T23:25:10.003,,,,separ alien languag slang use clockwork orang veri well develop updat languag build terribl surpris burgess among thing linguist author 2 linguist book languag made plain mouth air updat detail nadsat clockwork slang languag includ languag name origin found nadsat dictionari http en wikipedia org wiki nadsat nadsat basic english borrow word russian also contain influenc cockney rhyme slang king jame bibl german languag word unclear origin burgess invent word nadsat suffix russian numer 11 19 http en wikipedia org wiki aclockworkorang useofslang book narrat alex contain mani word slang argot burgess invent book call nadsat mix modifi slavic word rhyme slang deriv russian like baboochka word invent burgess instanc term follow mean nadsat droog mean friend korova mean cow risp shirt golova gulliv mean head malchick malchickiwick mean boy soomka mean sack bag bog mean god khorosho horrorshow mean good prestoopnick mean crimin rooka rooker hand cal crap veck chelloveck man guy litso face malenki littl one alex doctor explain languag colleagu odd bit old rhyme slang bit gypsi talk root slav propaganda sublimin penetr
164,1,,98,2011-01-11T23:27:02.033,1848,2,dune computers,ve never quit understood seri space travel thing univers seem primit compar
165,2,1,63,2011-01-11T23:28:04.560,,,,quit vocabulari r lyehian built lovecraft cthulu mytho
166,1,,98,2011-01-11T23:28:27.727,10609,2,tv firefly joss-whedon,one big question ve alway remain firefli seri shepherd book past obvious wasn alway preacher
171,2,164,52,2011-01-11T23:29:50.620,,,,spoiler ahead hover see becaus machin think extinguish dure butlerian jihad becaus repres pervert imit human mind use mentat human comput instead howev m mistaken ixian break rule world toler becaus need technolog
174,2,164,53,2011-01-11T23:30:41.423,,,,connect buthlerian jihad crusad comput ai technolog left univers ban specif command prohibit thou shalt make machin like human mind punish violat death
176,2,164,64,2011-01-11T23:31:06.537,,,,rememb comput revolt prior time paul atredi start train peopl human comput mentat
177,1,,98,2011-01-11T23:32:45.663,1552,1,arthur-c-clarke 2001,book 2001 say monolith around saturn movi say around jupit also 2010 agre around jupit whi
178,2,166,63,2011-01-11T23:34:14.383,,,,like comic read histori seren shepherd tale
183,2,177,98,2011-01-11T23:36:27.830,,,,book film written time origin plot go saturn time didn suitabl pictur saturn ring use film ring veri much part saturn imag public look veri differ view close angl moon saturn would use jupit could use telesop photograph planet well enough one wouldn abl tell differ shot 2010 authur c clark like idea europa possibl life recent identifi vike mission decid stage book movi jupit
186,2,164,99,2011-01-11T23:38:18.987,,,,one prequel book herbert son machin crusad fill past comput took earli planet settl human upris overthrow comput cybernet robot civil call butlerian jihad one final battl involv glass steril earth traumat follow destruct comput comput even machin work like human mind forbidden
187,2,177,63,2011-01-11T23:40:31.980,,,,stanley kubrick knew tri fabric imag saturn might look like film would bad date onli year wise chose use recent nasa imag jupit instead
194,2,128,99,2011-01-11T23:46:16.480,,,,empir foundat seri base chines imperi system skill peopl includ barbarian like marco polo could pass civil servic exam could enter bureaucraci lead bureaucraci massiv power power hereditari aristocraci inertia would prevent even emperor make chang
199,2,18,74,2011-01-11T23:52:39.587,,,,origin black lodg place evil anoth dimens describ demon feed pain suffer inhabit human manipul commit violenc believ point human serial killer
200,1,,55,2011-01-11T23:53:44.687,491,,novel books,longest scienc fiction saga amount book wasn creat movi tv show discard star trek star war x file name 2001 rama onli 4 foundat 7 10 count non asimov one dune 6 17 count non frank herber one one longest
203,2,200,39,2011-01-12T00:01:35.253,,,,length materi mission earth seri l ron hubbard pretti long think 10 book one someth like 400 500 page dune seri book pretti long assum count newest one well even though aren written frank herbert
204,2,200,56,2011-01-12T00:05:28.413,,,,la compagni des glace g j arnaud consist 98 novel author onli first volum seem translat english ice compani perri rhodan univers even larger singl seri note claim presenc quantiti qualiti longest scienc fiction saga onli count good book would undoubt bring differ answer subject site
208,2,200,98,2011-01-12T00:23:14.673,,,,xanth seri pier anthoni consist 27 book current none made big littl screen
213,1,,56,2011-01-12T00:33:00.993,199,,written,alfr bester novel demolish man initi publish galaxi magazin charact name t8 son kin main precursor sms speak subsequ book public great tone use abbrevi short locat old issu galaxi origin version avail somewher isfdb doe mention ani differ version sourc exist origin version randal garrett review vers takeoff
221,2,200,51,2011-01-12T00:49:05.603,,,,cheat technic heinlein book univers due event number beast also mean star trek lensman seri oz book wonderland book barsoom princess mar seri part univers easili make largest collect sinc definit work power fiction even mention novel direct part giant multivers anyth els mention also part
232,2,2,53,2011-01-12T01:37:32.813,,,,barrayar two satellit accord sourc
235,2,63,30,2011-01-12T02:05:21.693,,,,accelerando civil advanc past technolog singular tend build concentr dyson swarm computronium around star construct known matrioshka brain
236,1,,96,2011-01-12T02:23:03.577,915,,story-identification,onc saw refer specif artifici world never manag track actual stori wonder anyon help id world question flat disk sun center sort like saturn ring solid saturn star everi point surfac would state perpetu sunris sunset ve idea short stori novel
237,2,236,51,2011-01-12T02:27:57.303,,,,alderson disk featur godwheel enjoy
255,1,,109,2011-01-12T05:04:57.370,851,,star-trek movie technology prediction,star trek long histori introduc new technolog tos tng introduc us new technolog got adopt like communic mobil phone watch star trek 2009 notic comput consol chang drastic howev didn notic anyth special new cours fanci transpar screen know least sinc star gate semi realiti microsoft surfac exist transpar screen exist technolog devic introduc star trek univers movi ani new tech predict clarif look unexplain gadget use redskirt explan could would interest sinc found one exampl know real purpos think thought purpos give extra point
262,1,,113,2011-01-12T06:12:45.223,854,1,novel story-identification,coupl year ago read review interest novel lost detail never read book background premis genet engin progress point could afford improv children mani children need sleep abilti activ 24 hour day stori set 18 20 year later children enter adulthood deal bigotri prejudic aros rest us start realis competit advantag non sleeper anyon recognis novel
266,2,48,113,2011-01-12T06:29:02.660,,,,appear current plan continu juli 13 2008 straczynski reveal plan continu lost tale said although studio interest anoth disc want budget next instal similar first cite disappoint first releas due low budget straczynski said want dilut babylon 5 legaci sub par stori state would onli return babylon 5 univers warner bros want larg budget cinema releas babylon 5 lost tale wikipedia like mani fan d love see babylon 5 tale equal d hate see canon troubl low qualiti low budget addit
